TimeStamp,EKKLISPR,EPLETR,EPLPAR,GCC2H4_I,GCC2H4_O,GCCO2_I,GCCO2_O,GCNONO2_I,GCNONO2_O,GHHUMI,GHTEMP,OUHUMI,OUTEMP,PKAVGPW,PLADVASS,PLFOTR,PLLGHTUS,UPTLM2,VPDKPA,EKKLISPR_TM1D,EPLETR_TM1D,EPLPAR_TM1D,GCC2H4_I_TM1D,GCC2H4_O_TM1D,GCCO2_I_TM1D,GCCO2_O_TM1D,GCNONO2_I_TM1D,GCNONO2_O_TM1D,GHHUMI_TM1D,GHTEMP_TM1D,OUHUMI_TM1D,OUTEMP_TM1D,PKAVGPW_TM1D,PLADVASS_TM1D,PLFOTR_TM1D,PLLGHTUS_TM1D,UPTLM2_TM1D,VPDKPA_TM1D,EKKLISPR_TM2D,EPLETR_TM2D,EPLPAR_TM2D,GCC2H4_I_TM2D,GCC2H4_O_TM2D,GCCO2_I_TM2D,GCCO2_O_TM2D,GCNONO2_I_TM2D,GCNONO2_O_TM2D,GHHUMI_TM2D,GHTEMP_TM2D,OUHUMI_TM2D,OUTEMP_TM2D,PKAVGPW_TM2D,PLADVASS_TM2D,PLFOTR_TM2D,PLLGHTUS_TM2D,UPTLM2_TM2D,VPDKPA_TM2D,EKKLISPR_TM3D,EPLETR_TM3D,EPLPAR_TM3D,GCC2H4_I_TM3D,GCC2H4_O_TM3D,GCCO2_I_TM3D,GCCO2_O_TM3D,GCNONO2_I_TM3D,GCNONO2_O_TM3D,GHHUMI_TM3D,GHTEMP_TM3D,OUHUMI_TM3D,OUTEMP_TM3D,PKAVGPW_TM3D,PLADVASS_TM3D,PLFOTR_TM3D,PLLGHTUS_TM3D,UPTLM2_TM3D,VPDKPA_TM3D,EKKLISPR_TM4D,EPLETR_TM4D,EPLPAR_TM4D,GCC2H4_I_TM4D,GCC2H4_O_TM4D,GCCO2_I_TM4D,GCCO2_O_TM4D,GCNONO2_I_TM4D,GCNONO2_O_TM4D,GHHUMI_TM4D,GHTEMP_TM4D,OUHUMI_TM4D,OUTEMP_TM4D,PKAVGPW_TM4D,PLADVASS_TM4D,PLFOTR_TM4D,PLLGHTUS_TM4D,UPTLM2_TM4D,VPDKPA_TM4D,EKKLISPR_TM5D,EPLETR_TM5D,EPLPAR_TM5D,GCC2H4_I_TM5D,GCC2H4_O_TM5D,GCCO2_I_TM5D,GCCO2_O_TM5D,GCNONO2_I_TM5D,GCNONO2_O_TM5D,GHHUMI_TM5D,GHTEMP_TM5D,OUHUMI_TM5D,OUTEMP_TM5D,PKAVGPW_TM5D,PLADVASS_TM5D,PLFOTR_TM5D,PLLGHTUS_TM5D,UPTLM2_TM5D,VPDKPA_TM5D,EKKLISPR_TM6D,EPLETR_TM6D,EPLPAR_TM6D,GCC2H4_I_TM6D,GCC2H4_O_TM6D,GCCO2_I_TM6D,GCCO2_O_TM6D,GCNONO2_I_TM6D,GCNONO2_O_TM6D,GHHUMI_TM6D,GHTEMP_TM6D,OUHUMI_TM6D,OUTEMP_TM6D,PKAVGPW_TM6D,PLADVASS_TM6D,PLFOTR_TM6D,PLLGHTUS_TM6D,UPTLM2_TM6D,VPDKPA_TM6D,EKKLISPR_TM7D,EPLETR_TM7D,EPLPAR_TM7D,GCC2H4_I_TM7D,GCC2H4_O_TM7D,GCCO2_I_TM7D,GCCO2_O_TM7D,GCNONO2_I_TM7D,GCNONO2_O_TM7D,GHHUMI_TM7D,GHTEMP_TM7D,OUHUMI_TM7D,OUTEMP_TM7D,PKAVGPW_TM7D,PLADVASS_TM7D,PLFOTR_TM7D,PLLGHTUS_TM7D,UPTLM2_TM7D,VPDKPA_TM7D
23/10/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.1673113,20839.2839,30.6260868,12.6580647,976.652174,496.870968,60.4262295,67.440678,87.5552823,17.5236004,90.0166666,12.615625,50,3.21141953,0.86364958,118.334621,0.92572918,
24/10/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.1673113,20839.2839,30.6260868,12.6580647,976.652174,496.870968,60.4262295,67.440678,87.5552823,17.5236004,90.0166666,12.615625,50,3.21141953,0.86364958,118.334621,0.92572918,,,80.923142,27956.0777,37.2531252,4.76206895,1193.3125,511.965517,79.0298508,68.5849057,85.8759229,18.1709524,90.9385418,11.7003472,55,4.34393141,0.89320811,161.846283,0.96243056,
25/10/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.1673113,20839.2839,30.6260868,12.6580647,976.652174,496.870968,60.4262295,67.440678,87.5552823,17.5236004,90.0166666,12.615625,50,3.21141953,0.86364958,118.334621,0.92572918,,,80.923142,27956.0777,37.2531252,4.76206895,1193.3125,511.965517,79.0298508,68.5849057,85.8759229,18.1709524,90.9385418,11.7003472,55,4.34393141,0.89320811,161.846283,0.96243056,,,72.1720589,26242.3979,42.0645158,5.90434781,1207.64516,533.304348,86.8873239,77.9444444,85.5300951,18.2924761,94.5440972,11.75625,54,3.97653481,0.89209005,144.34412,0.96909722,
26/10/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.1673113,20839.2839,30.6260868,12.6580647,976.652174,496.870968,60.4262295,67.440678,87.5552823,17.5236004,90.0166666,12.615625,50,3.21141953,0.86364958,118.334621,0.92572918,,,80.923142,27956.0777,37.2531252,4.76206895,1193.3125,511.965517,79.0298508,68.5849057,85.8759229,18.1709524,90.9385418,11.7003472,55,4.34393141,0.89320811,161.846283,0.96243056,,,72.1720589,26242.3979,42.0645158,5.90434781,1207.64516,533.304348,86.8873239,77.9444444,85.5300951,18.2924761,94.5440972,11.75625,54,3.97653481,0.89209005,144.34412,0.96909722,,,81.4410061,28934.4598,43.9666669,5.59310342,1088.53333,538.689655,83.8243243,121.529412,86.6565489,18.061541,89.96875,10.3600694,56,4.44187868,0.89254244,162.882013,0.94121529,
27/10/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.1673113,20839.2839,30.6260868,12.6580647,976.652174,496.870968,60.4262295,67.440678,87.5552823,17.5236004,90.0166666,12.615625,50,3.21141953,0.86364958,118.334621,0.92572918,,,80.923142,27956.0777,37.2531252,4.76206895,1193.3125,511.965517,79.0298508,68.5849057,85.8759229,18.1709524,90.9385418,11.7003472,55,4.34393141,0.89320811,161.846283,0.96243056,,,72.1720589,26242.3979,42.0645158,5.90434781,1207.64516,533.304348,86.8873239,77.9444444,85.5300951,18.2924761,94.5440972,11.75625,54,3.97653481,0.89209005,144.34412,0.96909722,,,81.4410061,28934.4598,43.9666669,5.59310342,1088.53333,538.689655,83.8243243,121.529412,86.6565489,18.061541,89.96875,10.3600694,56,4.44187868,0.89254244,162.882013,0.94121529,,,46.8289224,16517.3375,37.6925928,5.86071434,1000,535.142857,86.1688312,120.880597,87.6855807,17.2176582,85.4138888,11.6888889,51,2.52687741,0.81647721,93.6578456,0.76927082,
28/10/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.1673113,20839.2839,30.6260868,12.6580647,976.652174,496.870968,60.4262295,67.440678,87.5552823,17.5236004,90.0166666,12.615625,50,3.21141953,0.86364958,118.334621,0.92572918,,,80.923142,27956.0777,37.2531252,4.76206895,1193.3125,511.965517,79.0298508,68.5849057,85.8759229,18.1709524,90.9385418,11.7003472,55,4.34393141,0.89320811,161.846283,0.96243056,,,72.1720589,26242.3979,42.0645158,5.90434781,1207.64516,533.304348,86.8873239,77.9444444,85.5300951,18.2924761,94.5440972,11.75625,54,3.97653481,0.89209005,144.34412,0.96909722,,,81.4410061,28934.4598,43.9666669,5.59310342,1088.53333,538.689655,83.8243243,121.529412,86.6565489,18.061541,89.96875,10.3600694,56,4.44187868,0.89254244,162.882013,0.94121529,,,46.8289224,16517.3375,37.6925928,5.86071434,1000,535.142857,86.1688312,120.880597,87.6855807,17.2176582,85.4138888,11.6888889,51,2.52687741,0.81647721,93.6578456,0.76927082,,,10.4566898,4460.97266,21.1541666,2.25000001,714.458333,499.142857,36.4657534,63.3384615,88.0506069,15.6617994,90.1547038,14.2376307,52,0.52712016,0.73898235,20.9133809,0.74675956,
29/10/2015,,,,,,,,,,,,,,,,,,,,,59.1673113,20839.2839,30.6260868,12.6580647,976.652174,496.870968,60.4262295,67.440678,87.5552823,17.5236004,90.0166666,12.615625,50,3.21141953,0.86364958,118.334621,0.92572918,,,80.923142,27956.0777,37.2531252,4.76206895,1193.3125,511.965517,79.0298508,68.5849057,85.8759229,18.1709524,90.9385418,11.7003472,55,4.34393141,0.89320811,161.846283,0.96243056,,,72.1720589,26242.3979,42.0645158,5.90434781,1207.64516,533.304348,86.8873239,77.9444444,85.5300951,18.2924761,94.5440972,11.75625,54,3.97653481,0.89209005,144.34412,0.96909722,,,81.4410061,28934.4598,43.9666669,5.59310342,1088.53333,538.689655,83.8243243,121.529412,86.6565489,18.061541,89.96875,10.3600694,56,4.44187868,0.89254244,162.882013,0.94121529,,,46.8289224,16517.3375,37.6925928,5.86071434,1000,535.142857,86.1688312,120.880597,87.6855807,17.2176582,85.4138888,11.6888889,51,2.52687741,0.81647721,93.6578456,0.76927082,,,10.4566898,4460.97266,21.1541666,2.25000001,714.458333,499.142857,36.4657534,63.3384615,88.0506069,15.6617994,90.1547038,14.2376307,52,0.52712016,0.73898235,20.9133809,0.74675956,,,12.2115561,5877.83482,17.9181818,5.1318181,690.363636,487.636364,33.3181818,51.6101695,87.9853089,16.1023126,97.6725695,14.6725694,48,0.62420695,0.68608548,24.4231121,0.68281247,
30/10/2015,,59.1673113,20839.2839,30.6260868,12.6580647,976.652174,496.870968,60.4262295,67.440678,87.5552823,17.5236004,90.0166666,12.615625,50,3.21141953,0.86364958,118.334621,0.92572918,,,80.923142,27956.0777,37.2531252,4.76206895,1193.3125,511.965517,79.0298508,68.5849057,85.8759229,18.1709524,90.9385418,11.7003472,55,4.34393141,0.89320811,161.846283,0.96243056,,,72.1720589,26242.3979,42.0645158,5.90434781,1207.64516,533.304348,86.8873239,77.9444444,85.5300951,18.2924761,94.5440972,11.75625,54,3.97653481,0.89209005,144.34412,0.96909722,,,81.4410061,28934.4598,43.9666669,5.59310342,1088.53333,538.689655,83.8243243,121.529412,86.6565489,18.061541,89.96875,10.3600694,56,4.44187868,0.89254244,162.882013,0.94121529,,,46.8289224,16517.3375,37.6925928,5.86071434,1000,535.142857,86.1688312,120.880597,87.6855807,17.2176582,85.4138888,11.6888889,51,2.52687741,0.81647721,93.6578456,0.76927082,,,10.4566898,4460.97266,21.1541666,2.25000001,714.458333,499.142857,36.4657534,63.3384615,88.0506069,15.6617994,90.1547038,14.2376307,52,0.52712016,0.73898235,20.9133809,0.74675956,,,12.2115561,5877.83482,17.9181818,5.1318181,690.363636,487.636364,33.3181818,51.6101695,87.9853089,16.1023126,97.6725695,14.6725694,48,0.62420695,0.68608548,24.4231121,0.68281247,,,8.19793668,3783.41012,8.23600006,0,663.36,462.294118,29.1594203,39.2826087,88.5178953,16.4910526,99.2618055,15.9958334,44,0.40242714,0.65596606,16.3958736,0.67736109,
31/10/2015,,80.923142,27956.0777,37.2531252,4.76206895,1193.3125,511.965517,79.0298508,68.5849057,85.8759229,18.1709524,90.9385418,11.7003472,55,4.34393141,0.89320811,161.846283,0.96243056,,,72.1720589,26242.3979,42.0645158,5.90434781,1207.64516,533.304348,86.8873239,77.9444444,85.5300951,18.2924761,94.5440972,11.75625,54,3.97653481,0.89209005,144.34412,0.96909722,,,81.4410061,28934.4598,43.9666669,5.59310342,1088.53333,538.689655,83.8243243,121.529412,86.6565489,18.061541,89.96875,10.3600694,56,4.44187868,0.89254244,162.882013,0.94121529,,,46.8289224,16517.3375,37.6925928,5.86071434,1000,535.142857,86.1688312,120.880597,87.6855807,17.2176582,85.4138888,11.6888889,51,2.52687741,0.81647721,93.6578456,0.76927082,,,10.4566898,4460.97266,21.1541666,2.25000001,714.458333,499.142857,36.4657534,63.3384615,88.0506069,15.6617994,90.1547038,14.2376307,52,0.52712016,0.73898235,20.9133809,0.74675956,,,12.2115561,5877.83482,17.9181818,5.1318181,690.363636,487.636364,33.3181818,51.6101695,87.9853089,16.1023126,97.6725695,14.6725694,48,0.62420695,0.68608548,24.4231121,0.68281247,,,8.19793668,3783.41012,8.23600006,0,663.36,462.294118,29.1594203,39.2826087,88.5178953,16.4910526,99.2618055,15.9958334,44,0.40242714,0.65596606,16.3958736,0.67736109,,,7.13148463,3523.90412,8.56666661,1.51666664,633.380952,476.375,26.2857143,36.0566038,88.0294676,16.7507032,99.0184028,16.7472222,48,0.35480912,0.63577412,14.2629694,0.53690971,
01/11/2015,,72.1720589,26242.3979,42.0645158,5.90434781,1207.64516,533.304348,86.8873239,77.9444444,85.5300951,18.2924761,94.5440972,11.75625,54,3.97653481,0.89209005,144.34412,0.96909722,,,81.4410061,28934.4598,43.9666669,5.59310342,1088.53333,538.689655,83.8243243,121.529412,86.6565489,18.061541,89.96875,10.3600694,56,4.44187868,0.89254244,162.882013,0.94121529,,,46.8289224,16517.3375,37.6925928,5.86071434,1000,535.142857,86.1688312,120.880597,87.6855807,17.2176582,85.4138888,11.6888889,51,2.52687741,0.81647721,93.6578456,0.76927082,,,10.4566898,4460.97266,21.1541666,2.25000001,714.458333,499.142857,36.4657534,63.3384615,88.0506069,15.6617994,90.1547038,14.2376307,52,0.52712016,0.73898235,20.9133809,0.74675956,,,12.2115561,5877.83482,17.9181818,5.1318181,690.363636,487.636364,33.3181818,51.6101695,87.9853089,16.1023126,97.6725695,14.6725694,48,0.62420695,0.68608548,24.4231121,0.68281247,,,8.19793668,3783.41012,8.23600006,0,663.36,462.294118,29.1594203,39.2826087,88.5178953,16.4910526,99.2618055,15.9958334,44,0.40242714,0.65596606,16.3958736,0.67736109,,,7.13148463,3523.90412,8.56666661,1.51666664,633.380952,476.375,26.2857143,36.0566038,88.0294676,16.7507032,99.0184028,16.7472222,48,0.35480912,0.63577412,14.2629694,0.53690971,,,13.5625012,7202.39442,19.7714285,5.82173907,763.52381,487.26087,32.9310345,49.2666667,86.5131902,16.294878,95.3711805,14.8902778,42,0.68437805,0.58082534,27.125002,0.68878472,
